value	old_description_da	new_description_da	description_en	translation_source
20103011	Alment gymnasiale uddannelser (compound: 20103011)	Studenterkursus uden linieopdeling 1. år	Studenterkursus without streaming, 1st year	fable-5
20103012	Alment gymnasiale uddannelser (compound: 20103012)	Studenterkursus uden linieopdeling 2. år	Studenterkursus without streaming, 2nd year	fable-5
10201010	Grundskole 7.-9. klasse (compound: 10201010)	7. klasse	7th grade [completed qualification]	reused-master
10101012	Grundskole til og med 6. klasse (compound: 10101012)	2. klasse	2nd grade [completed qualification]	reused-master
20302021	Internationale gymnasiale uddannelser (compound: 20302021)	International Baccalaureate, 1. år	International Baccalaureate, 1st year	fable-5
20302022	Internationale gymnasiale uddannelser (compound: 20302022)	International Baccalaureate, 2. år	International Baccalaureate, 2nd year	fable-5
10101016	Grundskole til og med 6. klasse (compound: 10101016)	6. klasse	6th grade [completed qualification]	reused-master
10101015	Grundskole til og med 6. klasse (compound: 10101015)	5. klasse	5th Grade [completed qualification]	reused-master
10101014	Grundskole til og med 6. klasse (compound: 10101014)	4. klasse	4th grade [completed qualification]	reused-master
10101013	Grundskole til og med 6. klasse (compound: 10101013)	3. klasse	3rd grade [completed qualification]	reused-master
20103032	Alment gymnasiale uddannelser (compound: 20103032)	Sproglig studenterkursus 2. år	Language-stream studenterkursus, 2nd year	fable-5
40258010	Humanistisk og teologisk, KVU (compound: 40258010)	1 erhverssprog, korrespondent, KVU	One business language, correspondent, KVU	fable-5
20103022	Alment gymnasiale uddannelser (compound: 20103022)	Matematisk studenterkursus 2. år	Mathematics-stream studenterkursus, 2nd year	fable-5
20103031	Alment gymnasiale uddannelser (compound: 20103031)	Sproglig studenterkursus 1. år	Language-stream studenterkursus, 1st year	fable-5
60305020	Kunstnerisk, BACH (compound: 60305020)	Designer, grafisk design, BACH	Designer, graphic design, BACH	fable-5
20103021	Alment gymnasiale uddannelser (compound: 20103021)	Matematisk studenterkursus 1. år	Mathematics-stream studenterkursus, 1st year	fable-5
60305045	Kunstnerisk, BACH (compound: 60305045)	Designer, møbel, rum, indretning, BACH	Designer, furniture, space, interior design, BACH	fable-5
60306015	Kunstnerisk, BACH (compound: 60306015)	Konservering - restaurering, grafisk, BACH	Conservation-restoration, graphic, BACH	fable-5
60305040	Kunstnerisk, BACH (compound: 60305040)	Designer, mode, tekstil, beklædning, BACH	Designer, fashion, textiles, clothing, BACH	fable-5
60305035	Kunstnerisk, BACH (compound: 60305035)	Designer, keramik og glas, BACH	Designer, ceramics and glass, BACH	fable-5
70305045	Kunstnerisk, LVU (compound: 70305045)	Designer, møbel, rum, indretning, LVU	Designer, furniture, space, interior design, LVU	fable-5
30251527	Jordbrug og natur (FJO) (compound: 30251527)	Planteskolegartner	Plant-nursery gardener [completed qualification]	reused-master
70252625	Humanistisk og teologisk, LVU (compound: 70252625)	Musikvidenskab, LVU	Musicology, LVU	fable-5
60306020	Kunstnerisk, BACH (compound: 60306020)	Konservering - restaurering, kulturhistorisk, BACH	Conservation-restoration, cultural history, BACH	fable-5
60305015	Kunstnerisk, BACH (compound: 60305015)	Designer, digitale medier, kommunikation, BACH	Designer, digital media, communication, BACH	fable-5
70305020	Kunstnerisk, LVU (compound: 70305020)	Designer, grafisk design, LVU	Designer, graphic design, LVU	fable-5
70305030	Kunstnerisk, LVU (compound: 70305030)	Designer, industriel design, LVU	Designer, industrial design, LVU	fable-5
60305030	Kunstnerisk, BACH (compound: 60305030)	Designer, industriel design, BACH	Designer, industrial design, BACH	fable-5
70256025	Humanistisk og teologisk, LVU (compound: 70256025)	Russisk, LVU	Russian, LVU	fable-5
70256030	Humanistisk og teologisk, LVU (compound: 70256030)	Serbokroatisk, LVU	Serbo-Croatian, LVU	fable-5
10101010	Grundskole til og med 6. klasse (compound: 10101010)	0. klasse	Grade 0 (kindergarten class)	fable-5
50802016	Jordbrug, natur og miljø, MVU (compound: 50802016)	Jordbrugsbiologi, MVU	Agricultural biology, MVU	fable-5
60306025	Kunstnerisk, BACH (compound: 60306025)	Konservering - restaurering, kunst, BACH	Conservation-restoration, art, BACH	fable-5
70305040	Kunstnerisk, LVU (compound: 70305040)	Designer, mode, tekstil, beklædning, LVU	Designer, fashion, textiles, clothing, LVU	fable-5
70306550	Kunstnerisk, LVU (compound: 70306550)	Musikteori, LVU	Music theory, LVU	fable-5
70353510	Naturvidenskab, LVU (compound: 70353510)	Geodæsi og geoinformatik, LVU	Geodesy and geoinformatics, LVU	fable-5
70257020	Humanistisk og teologisk, LVU (compound: 70257020)	Latin, LVU	Latin, LVU	fable-5
70305035	Kunstnerisk, LVU (compound: 70305035)	Designer, keramik og glas, LVU	Designer, ceramics and glass, LVU	fable-5
10101011	Grundskole til og med 6. klasse (compound: 10101011)	1. klasse	First Class [completed qualification]	reused-master
70305050	Kunstnerisk, LVU (compound: 70305050)	Designer, unika design, LVU	Designer, one-off (unika) design, LVU	fable-5
60303520	Kunstnerisk, BACH (compound: 60303520)	Scenograf, BACH	Scenographer, BACH	fable-5
70256020	Humanistisk og teologisk, LVU (compound: 70256020)	Polsk, LVU	Polish, LVU	fable-5
60306030	Kunstnerisk, BACH (compound: 60306030)	Konservering - restaurering, monumental, BACH	Conservation-restoration, monumental, BACH	fable-5
60306035	Kunstnerisk, BACH (compound: 60306035)	Konservering - restaurering, naturhistorisk, BACH	Conservation-restoration, natural history, BACH	fable-5
60301010	Kunstnerisk, BACH (compound: 60301010)	Kunstnerisk uden nærmere angivelse, BACH	Artistic, not further specified, BACH	fable-5
70256035	Humanistisk og teologisk, LVU (compound: 70256035)	Tjekkisk, LVU	Czech, LVU	fable-5
70257015	Humanistisk og teologisk, LVU (compound: 70257015)	Klassisk græsk-romersk , LVU	Classical Graeco-Roman, LVU	fable-5
60353015	Naturvidenskab, BACH (compound: 60353015)	Fysik, BACH	Physics, BACH	fable-5
60905010	Sundhedsvidenskab, BACH (compound: 60905010)	Medicin, BACH	Medicine, BACH	fable-5
60251215	Humanistisk og teologisk, BACH (compound: 60251215)	Arkæologi, klassisk, BACH	Archaeology, classical, BACH	fable-5
60355015	Naturvidenskab, BACH (compound: 60355015)	Matematik og økonomi, BACH	Mathematics and economics, BACH	fable-5
60256315	Humanistisk og teologisk, BACH (compound: 60256315)	Japanstudier, BACH	Japanese studies, BACH	fable-5
60905510	Sundhedsvidenskab, BACH (compound: 60905510)	Odontologi, BACH	Odontology (dentistry), BACH	fable-5
60301510	Kunstnerisk, BACH (compound: 60301510)	Arkitektur, BACH	Architecture, BACH	fable-5
60352015	Naturvidenskab, BACH (compound: 60352015)	Biomedicn og molekylær biomedicin, BACH	Biomedicine and molecular biomedicine, BACH	fable-5
60256210	Humanistisk og teologisk, BACH (compound: 60256210)	Indien og Sydasienstudier, BACH	India and South Asia studies, BACH	fable-5
60259710	Humanistisk og teologisk, BACH (compound: 60259710)	Teologi, BACH	Theology, BACH	fable-5
60256320	Humanistisk og teologisk, BACH (compound: 60256320)	Kinastudier, BACH	China studies, BACH	fable-5
60594510	Teknisk videnskab, BACH (compound: 60594510)	Landinspektørvidenskab, BACH	Chartered surveying science, BACH	fable-5
60305050	Kunstnerisk, BACH (compound: 60305050)	Designer,mode,accessories,BACH	Designer, fashion, accessories, BACH	fable-5
50384510	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50384510)	Erhvervsøkonomi, HD, MVU	Business economics, HD, MVU	fable-5
39155010	Kontor, handel og forretningsservice, AMU (compound: 39155010)	Ejendoms- og anden service, AMU	Property and other services, AMU	fable-5
20305010	Internationale gymnasiale uddannelser (compound: 20305010)	Andre udenlandske gymnasiale uddannelser	Other foreign upper secondary programmes	fable-5
40891010	Sundhedsfaglig, KVU (compound: 40891010)	Sundhedsfaglig uddannelse uden nærmere angivelse, KVU	Health programme, not further specified, KVU	fable-5
90991020	Uoplyst mv. (compound: 90991020)	Uoplyst (indvandrernes uddannelse)	Undefined (Immigrants' Education)	reused-master
10011010	Ingen uddannelse (compound: 10011010)	Ingen uddannelse Indv.udd	No education (immigrant education record)	fable-5
40241010	Medier og kommunikation, KVU (compound: 40241010)	Kommunikation og formidling uden nærmere angivelse, KVU	Communication and dissemination, not further specified, KVU	fable-5
50201010	Pædagogisk, MVU (compound: 50201010)	Pædagogiske uddannelser uden nærmere angivelse, MVU	Pedagogical programmes, not further specified, MVU	fable-5
40381010	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40381010)	Samfundsfaglig, Økonomisk-Merkantil uden nærmere angivelse, KVU	Social science, economic-mercantile, not further specified, KVU	fable-5
39101510	Omsorg, sundhed og pædagogik, AMU (compound: 39101510)	Pædagogisk arbejde med børn og unge i øvrigt, AMU	Other pedagogical work with children and young people, AMU	fable-5
50951010	Politi og forsvar mv., MVU (compound: 50951010)	Politi og forsvar uden nærmere angivelse, MVU	Police and defence, not further specified, MVU	fable-5
50241010	Medier og kommunikation, MVU (compound: 50241010)	Kommunikation og formidling uden nærmere angivelse, MVU	Communication and dissemination, not further specified, MVU	fable-5
50801010	Jordbrug, natur og miljø, MVU (compound: 50801010)	Jordbrug, natur og miljø uden nærmere angivelse, MVU	Agriculture, nature and environment, not further specified, MVU	fable-5
40581010	Teknisk, KVU (compound: 40581010)	Teknisk uden nærmere angivelse, KVU	Technical, not further specified, KVU	fable-5
70201010	Pædagogisk, LVU (compound: 70201010)	Pædagogiske uddannelser uden nærmere angivelse, LVU	Pedagogical programmes, not further specified, LVU	fable-5
50891010	Sundhedsfaglig, MVU (compound: 50891010)	Sundhedsfaglig uddannelse uden nærmere angivelse, MVU	Health programme, not further specified, MVU	fable-5
50258215	Humanistisk og teologisk, MVU (compound: 50258215)	Erhvervssprog, diplomprøve ED, MVU	Business language, ED diploma examination, MVU	fable-5
39654010	Transport og logistikområdet, AMU (compound: 39654010)	Transport- og logistik i øvrigt, AMU	Other transport and logistics, AMU	fable-5
70971010	Videregående uddannelser uden nærmere angivelse, LVU (compound: 70971010)	Videregående uddannelser uden nærmere angivelse, LVU	Higher education, not further specified, LVU	fable-5
40202515	Pædagogisk, KVU (compound: 40202515)	Andre pædagogiske uddannelser, KVU	Other pedagogical programmes, KVU	fable-5
80971010	Videregående uddannelser uden nærmere angivelse, Ph.d. (compound: 80971010)	Videregående uddannelser uden nærmere angivelse, Ph.d.	Higher education, not further specified, Ph.d.	fable-5
70901010	Sundhedsvidenskab, LVU (compound: 70901010)	Sundhedsvidenskab uden nærmere angivelse, LVU	Health science, not further specified, LVU	fable-5
39551060	Teknologiområdet, maskinteknik og produktion, AMU (compound: 39551060)	Maskinteknik og produktion uden nærmere angivelse, AMU	Mechanical engineering and production, not further specified, AMU	fable-5
39351010	Byggeriområdet, AMU (compound: 39351010)	Bygge og anlæg uden nærmere angivelse, AMU	Building and construction, not further specified, AMU	fable-5
15201010	Introducerende og erhvervsrettede forløb (compound: 15201010)	Husholdningskursus, alment	Household Course, General [completed qualification]	reused-master
40301010	Kunstnerisk, KVU (compound: 40301010)	Kunstnerisk uden nærmere angivelse, KVU	Artistic, not further specified, KVU	fable-5
39553525	Teknologiområdet, maskinteknik og produktion, AMU (compound: 39553525)	Jern og metal, AMU	Iron and metal, AMU	fable-5
60971010	Videregående uddannelser uden nærmere angivelse, BACH (compound: 60971010)	Videregående uddannelser uden nærmere angivelse, BACH	Higher education, not further specified, BACH	fable-5
50971010	Videregående uddannelser uden nærmere angivelse, MVU (compound: 50971010)	Videregående uddannelser uden nærmere angivelse, MVU	Higher education, not further specified, MVU	fable-5
40751010	Fødevarer, bio- og laboratorieteknik, KVU (compound: 40751010)	Fødevarer, bio- og laboratorieteknik uden nærmere angivelse, KVU	Food, bio- and laboratory technology, not further specified, KVU	fable-5
70951010	Politi og forsvar mv., LVU (compound: 70951010)	Politi og forsvar uden nærmere angivelse, LVU	Police and defence, not further specified, LVU	fable-5
39152510	Kontor, handel og forretningsservice, AMU (compound: 39152510)	Engros- og detailhandel, AMU	Wholesale and retail trade, AMU	fable-5
40971010	Videregående uddannelser uden nærmere angivelse, KVU (compound: 40971010)	Videregående uddannelser uden nærmere angivelse, KVU	Higher education, not further specified, KVU	fable-5
39254010	Jordbrug og natur, AMU (compound: 39254010)	Jordbrug og natur i øvrigt, AMU	Other agriculture and nature, AMU	fable-5
30971010	Erhvervsfaglige uddannelser uden nærmere angivelse (compound: 30971010)	Erhvervsfaglige uddannelser uden nærmere angivelse	Vocational programmes, not further specified	fable-5
50202510	Pædagogisk, MVU (compound: 50202510)	Underviser i dansk som andetsprog, MVU	Teacher of Danish as a second language, MVU	fable-5
70952510	Politi og forsvar mv., LVU (compound: 70952510)	Officer i forsvaret uden nærmere angivelse, LVU	Officer in the armed forces, not further specified, LVU	fable-5
50952510	Politi og forsvar mv., MVU (compound: 50952510)	Officer i forsvaret uden nærmere angivelse, MVU	Officer in the armed forces, not further specified, MVU	fable-5
39101010	Omsorg, sundhed og pædagogik, AMU (compound: 39101010)	Sundhed og omsorg, AMU	Health and care, AMU	fable-5
70909515	Sundhedsvidenskab, LVU (compound: 70909515)	Ledelse i sundhedssektoren, LVU	Management in the health sector, LVU	fable-5
50203015	Pædagogisk, MVU (compound: 50203015)	Didaktik og undervisningsteori, MVU	Didactics and teaching theory, MVU	fable-5
39202030	Fødevarer, AMU (compound: 39202030)	Fødevarer i øvrigt, AMU	Other food subjects, AMU	fable-5
70202510	Pædagogisk, LVU (compound: 70202510)	Underviser i dansk som andetsprog, LVU	Teacher of Danish as a second language, LVU	fable-5
40584010	Teknisk, KVU (compound: 40584010)	Sundheds- og omsorgsteknologi, KVU	Health and care technology, KVU	fable-5
70301010	Kunstnerisk, LVU (compound: 70301010)	Kunstnerisk uden nærmere angivelse, LVU	Artistic, not further specified, LVU	fable-5
50805090	Jordbrug, natur og miljø, MVU (compound: 50805090)	Naturressourcer og miljø i øvrigt, MVU	Other natural resources and environment, MVU	fable-5
50589525	Teknisk, MVU (compound: 50589525)	Grafisk-teknisk, MVU	Graphic-technical, MVU	fable-5
70801010	Jordbrug, natur og miljø, LVU (compound: 70801010)	Jordbrug, natur og miljø uden nærmere angivelse, LVU	Agriculture, nature and environment, not further specified, LVU	fable-5
80203020	Pædagogisk, Ph.d. (compound: 80203020)	Pædagogik, Ph.d.	Pedagogy, Ph.d.	fable-5
80253510	Humanistisk og teologisk, Ph.d. (compound: 80253510)	Informationsvidenskab mv., Ph.d.	Information science etc., Ph.d.	fable-5
70252215	Humanistisk og teologisk, LVU (compound: 70252215)	Europas historie, LVU	History of Europe, LVU	fable-5
39453010	Teknologiområdet, grafisk teknik og medieproduktion, AMU (compound: 39453010)	Grafisk teknik, AMU	Graphic technology, AMU	fable-5
